MraZ	represses	mraZ
MraZ	represses	rsmH
MraZ	represses	ftsL
MraZ	represses	mioC
MraZ	represses	ftsO
ExuR	represses	uxaB
ExuR	represses	uxuA
ExuR	represses	uxaA
ExuR	represses	exuT
ExuR	represses	exuR
ExuR	represses	uxuB
ExuR	represses	uxuR
ExuR	represses	lgoR
ExuR	represses	lgoD
ExuR	represses	uxaC
TrpR	represses	aroH
TrpR	represses	aroL
TrpR	represses	aroM
TrpR	represses	mtr
TrpR	represses	trpA
TrpR	represses	trpB
TrpR	represses	trpC
TrpR	represses	trpD
TrpR	represses	trpE
TrpR	represses	trpR
TrpR	represses	yaiA
TrpR	represses	trpL
PlaR	represses	eda
PlaR	represses	glpA
PlaR	represses	glpT
PlaR	represses	plaR
PlaR	represses	yiaK
PlaR	represses	yiaL
PlaR	represses	yiaM
PlaR	represses	yiaN
PlaR	represses	yiaO
PlaR	represses	lyxK
PlaR	represses	sgbH
PlaR	represses	sgbU
PlaR	represses	sgbE
PlaR	represses	ygjV
MqsA	represses	rpoS
MqsA	represses	cspD
MqsA	represses	ypjJ
MqsA	represses	csgG
MqsA	represses	csgF
MqsA	represses	csgE
MqsA	represses	csgD
MqsA	represses	lfgA
MqsA	represses	lfgB
MqsA	represses	yfjZ
MqsA	represses	ypjF
MqsA	represses	mqsA
MqsA	represses	mqsR
PurR	represses	carA
PurR	represses	carB
PurR	represses	cvpA
PurR	represses	gcvH
PurR	represses	glnB
PurR	represses	glyA
PurR	represses	guaA
PurR	represses	guaB
PurR	represses	prs
PurR	represses	purA
PurR	represses	purC
PurR	represses	purD
PurR	represses	purE
PurR	represses	purF
PurR	represses	purH
PurR	represses	purK
PurR	represses	purL
PurR	represses	purM
PurR	represses	purN
PurR	represses	purR
PurR	represses	pyrC
PurR	represses	pyrD
PurR	represses	speA
PurR	represses	speB
PurR	represses	ubiX
PurR	represses	purB
PurR	represses	codA
PurR	represses	codB
PurR	represses	hflD
PurR	represses	gcvT
PurR	represses	purT
PurR	represses	gcvP
AcrR	represses	flhC
AcrR	represses	flhD
AcrR	represses	soxR
AcrR	represses	soxS
AcrR	represses	marA
AcrR	represses	marR
AcrR	represses	marB
AcrR	represses	acrA
AcrR	represses	acrB
AcrR	represses	acrR
AcrR	represses	micF
AcrR	represses	mdtU
AcrR	represses	puuA
AcrR	represses	mdtI
AcrR	represses	mdtJ
FliZ	represses	flhC
FliZ	represses	flhD
FliZ	represses	osmY
FliZ	represses	hdeA
FliZ	represses	hdeB
FliZ	represses	yhiD
FliZ	represses	csgA
FliZ	represses	gadB
FliZ	represses	gadE
FliZ	represses	yjbJ
FliZ	represses	mlrA
FliZ	represses	mdtE
FliZ	represses	mdtF
FliZ	represses	gadF
FliZ	represses	csgG
FliZ	represses	csgF
FliZ	represses	csgE
FliZ	represses	csgD
FliZ	represses	csgB
FliZ	represses	csgC
FliZ	represses	pdeR
FliZ	represses	gadC
YcjW	represses	ymjB
YcjW	represses	ycjM
YcjW	represses	ycjN
YcjW	represses	ycjO
YcjW	represses	ycjP
YcjW	represses	ycjQ
YcjW	represses	ycjR
YcjW	represses	ycjS
YcjW	represses	ycjT
YcjW	represses	ycjU
YcjW	represses	ycjV
YcjW	represses	ompG
AgaR	represses	agaA
AgaR	represses	kbaY
AgaR	represses	agaB
AgaR	represses	agaC
AgaR	represses	agaR
AgaR	represses	kbaZ
AgaR	represses	agaV
AgaR	represses	agaW
AgaR	represses	agaS
AgaR	represses	agaD
AgaR	represses	agaI
YjjQ	represses	flhC
YjjQ	represses	flhD
YjjQ	represses	ompC
YjjQ	represses	yfiB
YjjQ	represses	dgcN
YjjQ	represses	ymiA
YjjQ	represses	yciX
YjjQ	represses	ybhL
YjjQ	represses	gfcA
YjjQ	represses	yfiR
UxuR	represses	fliC
UxuR	represses	uidA
UxuR	represses	uxuA
UxuR	represses	uidB
UxuR	represses	gntP
UxuR	represses	exuR
UxuR	represses	uxuB
UxuR	represses	uxuR
UxuR	represses	uidC
UxuR	represses	lgoR
UxuR	represses	lgoD
GntR	represses	eda
GntR	represses	edd
GntR	represses	idnK
GntR	represses	gntT
GntR	represses	idnT
GntR	represses	gntK
GntR	represses	gntU
GntR	represses	yhgH
GntR	represses	nfuA
GntR	represses	idnR
GntR	represses	idnO
GntR	represses	idnD
